ECG,Heart Rate
-0.128784,89
-0.128784,89
-0.128174,89
-0.127258,89
-0.125427,89
-0.122375,89
-0.118408,89
-0.11261,89
-0.105896,89
-0.0973511,89
-0.0872803,89
-0.0753784,89
-0.0610352,89
-0.0448608,89
-0.0259399,89
-0.00518799,89
0.0183105,89
0.0436401,89
0.0717163,89
0.101624,89
0.133972,89
0.168152,89
0.203857,89
0.240479,89
0.277405,89
0.31311,89
0.346985,89
0.377502,89
0.403748,89
0.4245,89
0.439148,89
0.447388,89
0.448608,89
0.443115,89
0.430908,89
0.412292,89
0.387268,89
0.35675,89
0.320435,89
0.279236,89
0.233765,89
0.184937,82
0.134277,82
0.0823975,82
